,0
solar_curtailment_s0w0,0.0
solar_curtailment_s1w0,-0.2908328138323258
solar_curtailment_s2w0,-0.21886604462292075
solar_curtailment_s3w0,-0.2094901635660129
solar_curtailment_s4w0,-0.15405620577366763
solar_curtailment_s5w0,-0.08342718576802521
solar_curtailment_s6w0,-0.0763015267217102
solar_curtailment_s0w1,-0.0005140527130918539
solar_curtailment_s1w1,-0.028707130969776336
solar_curtailment_s2w1,-0.030765214822417675
solar_curtailment_s3w1,0.027645884360328665
solar_curtailment_s4w1,0.024400934181060818
solar_curtailment_s5w1,-0.0048124320300841905
solar_curtailment_s6w1,-0.015515878543109984
solar_curtailment_s0w2,-8.467150365753574e-05
solar_curtailment_s1w2,0.01020656973552358
solar_curtailment_s2w2,-0.009667714254963933
solar_curtailment_s3w2,-0.016493139342470653
solar_curtailment_s4w2,-0.006689858183182462
solar_curtailment_s5w2,-0.0031462605939587274
solar_curtailment_s6w2,-0.013391359150949467
solar_curtailment_s0w3,-0.0006374035593756757
solar_curtailment_s1w3,0.011444421988247949
solar_curtailment_s2w3,-0.015219370277583966
solar_curtailment_s3w3,-0.01191801896717637
solar_curtailment_s4w3,-0.009256159149655718
solar_curtailment_s5w3,-0.014013840315427628
solar_curtailment_s0w4,-3.6114716535124054e-06
solar_curtailment_s1w4,0.007948289054782513
solar_curtailment_s2w4,-0.015910503458885894
solar_curtailment_s3w4,-0.015296776751060559
solar_curtailment_s4w4,-0.00691839739555522
solar_curtailment_s5w4,-0.001384011055182488
solar_curtailment_s0w5,-0.0009672472808859565
solar_curtailment_s1w5,0.014827725754340463
solar_curtailment_s2w5,-0.029831722330096233
solar_curtailment_s3w5,-0.0051094121214445565
solar_curtailment_s4w5,0.009659306231956544
solar_curtailment_s0w6,-0.0024802937884442827
solar_curtailment_s1w6,0.022313084104391263
solar_curtailment_s2w6,-0.030195112767678167
