solar,wind,SDES discharge cap
0.1,0.1,142.5
0.1,0.3,125.9
0.1,0.4,131.7
0.1,0.5,131.1
0.1,0.6,136.7
0.1,0.7,147.4
0.1,0.9,166.8
0.3,0.1,349.8
0.3,0.3,377.2
0.3,0.4,376.9
0.3,0.5,373.8
0.3,0.6,372.2
0.3,0.7,373.7
0.3,0.9,387.9
0.4,0.1,464.9
0.4,0.3,490.5
0.4,0.4,492.8
0.4,0.5,491.9
0.4,0.6,481.9
0.4,0.7,472.3
0.4,0.9,450.0
0.5,0.1,563.1
0.5,0.3,598.0
0.5,0.4,601.8
0.5,0.5,595.6
0.5,0.6,583.7
0.5,0.7,545.8
0.6,0.1,658.0
0.6,0.3,700.1
0.6,0.4,701.7
0.6,0.5,689.0
0.6,0.6,646.7
0.6,0.7,577.1
0.7,0.1,761.4
0.7,0.3,786.6
0.7,0.4,785.8
0.7,0.5,759.3
0.7,0.6,679.3
0.9,0.1,934.3
0.9,0.3,929.1
0.9,0.4,900.4
