solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,9.8
0.1,0.4,9.7
0.1,0.5,9.6
0.1,0.6,9.5
0.1,0.7,9.5
0.1,0.9,9.4
0.3,0.1,27.7
0.3,0.3,28.2
0.3,0.4,28.1
0.3,0.5,27.9
0.3,0.6,27.8
0.3,0.7,27.5
0.3,0.9,27.1
0.4,0.1,34.5
0.4,0.3,35.6
0.4,0.4,35.5
0.4,0.5,35.3
0.4,0.6,35.3
0.4,0.7,34.7
0.4,0.9,34.0
0.5,0.1,40.8
0.5,0.3,41.7
0.5,0.4,41.8
0.5,0.5,41.4
0.5,0.6,41.0
0.5,0.7,39.6
0.6,0.1,46.5
0.6,0.3,47.4
0.6,0.4,47.2
0.6,0.5,46.5
0.6,0.6,45.0
0.6,0.7,43.3
0.7,0.1,51.7
0.7,0.3,52.2
0.7,0.4,51.5
0.7,0.5,50.0
0.7,0.6,47.7
0.9,0.1,59.6
0.9,0.3,59.5
0.9,0.4,57.9
