solar,wind,solar cap
0.1,0.1,248.1
0.1,0.3,261.5
0.1,0.4,264.9
0.1,0.5,265.4
0.1,0.6,265.8
0.1,0.7,265.0
0.1,0.9,268.0
0.3,0.1,747.7
0.3,0.3,767.1
0.3,0.4,777.2
0.3,0.5,789.5
0.3,0.6,798.3
0.3,0.7,805.0
0.3,0.9,798.1
0.4,0.1,1000.8
0.4,0.3,1028.7
0.4,0.4,1040.6
0.4,0.5,1052.2
0.4,0.6,1065.9
0.4,0.7,1066.6
0.4,0.9,1052.5
0.5,0.1,1266.6
0.5,0.3,1298.6
0.5,0.4,1315.7
0.5,0.5,1324.6
0.5,0.6,1331.6
0.5,0.7,1321.7
0.6,0.1,1541.3
0.6,0.3,1575.4
0.6,0.4,1585.5
0.6,0.5,1595.8
0.6,0.6,1592.3
0.6,0.7,1569.6
0.7,0.1,1819.1
0.7,0.3,1851.1
0.7,0.4,1859.6
0.7,0.5,1858.1
0.7,0.6,1836.5
0.9,0.1,2370.1
0.9,0.3,2394.5
0.9,0.4,2389.9
