solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.1
0.3,0.1,7.5
0.3,0.3,3.8
0.3,0.4,2.9
0.3,0.5,1.9
0.3,0.6,1.7
0.3,0.7,1.5
0.3,0.9,2.8
0.4,0.1,13.7
0.4,0.3,8.9
0.4,0.4,7.8
0.4,0.5,6.8
0.4,0.6,5.9
0.4,0.7,6.4
0.4,0.9,10.9
0.5,0.1,18.4
0.5,0.3,14.6
0.5,0.4,12.8
0.5,0.5,12.2
0.5,0.6,12.1
0.5,0.7,15.0
0.6,0.1,22.2
0.6,0.3,19.1
0.6,0.4,18.0
0.6,0.5,17.7
0.6,0.6,19.8
0.6,0.7,24.6
0.7,0.1,25.8
0.7,0.3,23.5
0.7,0.4,23.0
0.7,0.5,24.2
0.7,0.6,28.3
0.9,0.1,33.2
0.9,0.3,31.6
0.9,0.4,32.5
