solar,wind,SDES absolute dispatch
0.1,0.1,78572550.5
0.1,0.3,72072004.6
0.1,0.4,72543153.5
0.1,0.5,71014294.8
0.1,0.6,74067661.8
0.1,0.7,79539554.4
0.1,0.9,85865515.3
0.3,0.1,283961327.7
0.3,0.3,315206242.9
0.3,0.4,320459221.0
0.3,0.5,314705862.1
0.3,0.6,310974899.8
0.3,0.7,308019393.5
0.3,0.9,312161528.1
0.4,0.1,398780536.5
0.4,0.3,438476233.4
0.4,0.4,443531238.2
0.4,0.5,440738414.3
0.4,0.6,428163935.7
0.4,0.7,415095785.3
0.4,0.9,374659574.7
0.5,0.1,492615125.0
0.5,0.3,538757672.0
0.5,0.4,546760821.6
0.5,0.5,536920963.9
0.5,0.6,519860108.9
0.5,0.7,475963915.3
0.6,0.1,585157523.7
0.6,0.3,633039106.2
0.6,0.4,638945589.1
0.6,0.5,622962362.5
0.6,0.6,567785956.7
0.6,0.7,505637465.6
0.7,0.1,687388032.1
0.7,0.3,719840932.6
0.7,0.4,715108253.8
0.7,0.5,680819379.8
0.7,0.6,596876754.9
0.9,0.1,846172300.4
0.9,0.3,856749263.3
0.9,0.4,824342449.7
