solar,wind,ES solar cap
0.1,0.1,53.7
0.1,0.3,42.2
0.1,0.4,42.0
0.1,0.5,42.0
0.1,0.6,42.0
0.1,0.7,42.0
0.1,0.9,42.0
0.3,0.1,208.9
0.3,0.3,181.9
0.3,0.4,172.0
0.3,0.5,160.0
0.3,0.6,150.2
0.3,0.7,141.3
0.3,0.9,130.0
0.4,0.1,239.8
0.4,0.3,201.5
0.4,0.4,196.0
0.4,0.5,183.3
0.4,0.6,172.1
0.4,0.7,166.8
0.4,0.9,167.2
0.5,0.1,277.0
0.5,0.3,231.4
0.5,0.4,215.8
0.5,0.5,208.7
0.5,0.6,201.8
0.5,0.7,203.4
0.6,0.1,302.3
0.6,0.3,254.5
0.6,0.4,241.7
0.6,0.5,236.5
0.6,0.6,243.5
0.6,0.7,270.4
0.7,0.1,317.9
0.7,0.3,278.8
0.7,0.4,266.7
0.7,0.5,270.4
0.7,0.6,306.8
0.9,0.1,353.9
0.9,0.3,354.4
0.9,0.4,365.5
