solar,wind,total demand
0.1,0.1,3214.53
0.1,0.3,3279.43
0.1,0.4,3323.342
0.1,0.5,3355.191
0.1,0.6,3371.075
0.1,0.7,3380.159
0.1,0.9,3430.698
0.3,0.1,3215.893
0.3,0.3,3285.262
0.3,0.4,3333.83
0.3,0.5,3386.361
0.3,0.6,3411.866
0.3,0.7,3457.975
0.3,0.9,3460.552
0.4,0.1,3216.076
0.4,0.3,3288.186
0.4,0.4,3341.73
0.4,0.5,3395.474
0.4,0.6,3431.075
0.4,0.7,3462.623
0.4,0.9,3373.249
0.5,0.1,3217.181
0.5,0.3,3287.629
0.5,0.4,3349.908
0.5,0.5,3404.606
0.5,0.6,3451.153
0.5,0.7,3445.827
0.6,0.1,3223.793
0.6,0.3,3290.262
0.6,0.4,3355.103
0.6,0.5,3416.184
0.6,0.6,3434.972
0.6,0.7,3359.091
0.7,0.1,3230.46
0.7,0.3,3295.611
0.7,0.4,3360.631
0.7,0.5,3413.324
0.7,0.6,3380.96
0.9,0.1,3238.383
0.9,0.3,3326.304
0.9,0.4,3376.106
