solar,wind,ES wind cap
0.1,0.1,22.7
0.1,0.3,29.9
0.1,0.4,32.0
0.1,0.5,37.6
0.1,0.6,40.5
0.1,0.7,46.9
0.1,0.9,58.2
0.3,0.1,18.4
0.3,0.3,29.5
0.3,0.4,34.5
0.3,0.5,45.4
0.3,0.6,50.6
0.3,0.7,51.5
0.3,0.9,55.1
0.4,0.1,11.8
0.4,0.3,26.5
0.4,0.4,28.6
0.4,0.5,35.8
0.4,0.6,44.5
0.4,0.7,48.1
0.4,0.9,48.7
0.5,0.1,1.0
0.5,0.3,19.8
0.5,0.4,24.9
0.5,0.5,29.4
0.5,0.6,36.5
0.5,0.7,38.8
0.6,0.1,0.9
0.6,0.3,15.3
0.6,0.4,20.8
0.6,0.5,25.3
0.6,0.6,27.2
0.6,0.7,25.5
0.7,0.1,0.8
0.7,0.3,12.0
0.7,0.4,16.7
0.7,0.5,19.9
0.7,0.6,19.3
0.9,0.1,0.7
0.9,0.3,1.0
0.9,0.4,2.9
