,0
wind_curtailment_w0s0,0.0
wind_curtailment_w1s0,-0.03807920850308791
wind_curtailment_w2s0,-0.011188383933956249
wind_curtailment_w3s0,-0.12571495876436553
wind_curtailment_w4s0,-0.290801226301565
wind_curtailment_w5s0,0.08348694487227543
wind_curtailment_w6s0,-0.1993479191463967
wind_curtailment_w0s1,-0.014192232464918065
wind_curtailment_w1s1,-0.08880640685669407
wind_curtailment_w2s1,-0.07288098785602823
wind_curtailment_w3s1,0.019496150234393328
wind_curtailment_w4s1,0.1870627240174301
wind_curtailment_w5s1,-0.15342118231984664
wind_curtailment_w6s1,0.14904174454945873
wind_curtailment_w0s2,-0.0020497626127999533
wind_curtailment_w1s2,0.018768226294393835
wind_curtailment_w2s2,0.03021253889555245
wind_curtailment_w3s2,0.05625349542572736
wind_curtailment_w4s2,0.055335085766689524
wind_curtailment_w5s2,0.03208638471432784
wind_curtailment_w6s2,0.0643523570404752
wind_curtailment_w0s3,-0.0011886502121486002
wind_curtailment_w1s3,0.035703048179205554
wind_curtailment_w2s3,0.03727205439331421
wind_curtailment_w3s3,0.037309477463858626
wind_curtailment_w4s3,0.053107138209947266
wind_curtailment_w5s3,0.009205632711181383
wind_curtailment_w0s4,0.006351293300303299
wind_curtailment_w1s4,0.03168731881050482
wind_curtailment_w2s4,0.02323873301790815
wind_curtailment_w3s4,0.02081231395513433
wind_curtailment_w4s4,0.02430369540562738
wind_curtailment_w5s4,0.020712269225161728
wind_curtailment_w0s5,0.005125554551882958
wind_curtailment_w1s5,0.027965789536545372
wind_curtailment_w2s5,0.0075119080205777455
wind_curtailment_w3s5,0.026541937380172922
wind_curtailment_w4s5,0.009405010578773909
wind_curtailment_w0s6,0.004949358707776233
wind_curtailment_w1s6,0.03411704128399244
wind_curtailment_w2s6,0.02336780548752474
