solar,wind,system cost
0.1,0.1,311.5
0.1,0.3,312.9
0.1,0.4,315.5
0.1,0.5,319.5
0.1,0.6,325.6
0.1,0.7,333.0
0.1,0.9,348.9
0.3,0.1,313.2
0.3,0.3,317.0
0.3,0.4,321.4
0.3,0.5,327.3
0.3,0.6,334.0
0.3,0.7,341.7
0.3,0.9,358.4
0.4,0.1,319.8
0.4,0.3,325.1
0.4,0.4,329.6
0.4,0.5,335.2
0.4,0.6,342.2
0.4,0.7,349.9
0.4,0.9,366.7
0.5,0.1,328.4
0.5,0.3,333.8
0.5,0.4,338.2
0.5,0.5,343.9
0.5,0.6,350.9
0.5,0.7,358.6
0.6,0.1,337.3
0.6,0.3,342.6
0.6,0.4,347.0
0.6,0.5,352.7
0.6,0.6,359.7
0.6,0.7,367.4
0.7,0.1,346.3
0.7,0.3,351.5
0.7,0.4,355.9
0.7,0.5,361.5
0.7,0.6,368.6
0.9,0.1,363.9
0.9,0.3,369.3
0.9,0.4,373.7
