solar,wind,wind absolute curt
0.1,0.1,12695.2
0.1,0.3,16973185.8
0.1,0.4,31377245.6
0.1,0.5,89726640.8
0.1,0.6,210573957.8
0.1,0.7,433155591.5
0.1,0.9,938300422.5
0.3,0.1,80360.6
0.3,0.3,27989451.2
0.3,0.4,74248664.8
0.3,0.5,297521928.5
0.3,0.6,473989536.0
0.3,0.7,696219522.5
0.3,0.9,1173823900.9
0.4,0.1,2583881.7
0.4,0.3,72870363.3
0.4,0.4,198587139.8
0.4,0.5,331061240.5
0.4,0.6,510088899.6
0.4,0.7,725753100.0
0.4,0.9,1200982123.8
0.5,0.1,3489328.0
0.5,0.3,135083541.3
0.5,0.4,209995750.4
0.5,0.5,340212651.9
0.5,0.6,520778694.4
0.5,0.7,735026206.5
0.6,0.1,23945237.4
0.6,0.3,138782553.9
0.6,0.4,213272675.1
0.6,0.5,343248915.2
0.6,0.6,524473389.6
0.6,0.7,737818507.9
0.7,0.1,24616326.6
0.7,0.3,139866319.3
0.7,0.4,215353970.7
0.7,0.5,344813639.7
0.7,0.6,525116661.1
0.9,0.1,25064607.0
0.9,0.3,141976435.4
0.9,0.4,216717681.2
