solar,wind,DK wind cap
0.1,0.1,14.5
0.1,0.3,18.7
0.1,0.4,20.1
0.1,0.5,29.0
0.1,0.6,40.3
0.1,0.7,57.4
0.1,0.9,73.4
0.3,0.1,14.0
0.3,0.3,18.5
0.3,0.4,23.0
0.3,0.5,31.5
0.3,0.6,46.9
0.3,0.7,72.0
0.3,0.9,73.4
0.4,0.1,14.0
0.4,0.3,18.4
0.4,0.4,22.3
0.4,0.5,31.5
0.4,0.6,49.1
0.4,0.7,72.0
0.4,0.9,73.4
0.5,0.1,13.9
0.5,0.3,18.2
0.5,0.4,22.5
0.5,0.5,31.5
0.5,0.6,50.2
0.5,0.7,72.0
0.6,0.1,13.7
0.6,0.3,18.3
0.6,0.4,22.6
0.6,0.5,31.4
0.6,0.6,50.4
0.6,0.7,72.0
0.7,0.1,13.7
0.7,0.3,18.3
0.7,0.4,22.6
0.7,0.5,31.3
0.7,0.6,50.4
0.9,0.1,13.7
0.9,0.3,18.3
0.9,0.4,22.6
