solar,wind,backup capacity factor high
0.1,0.1,94.73
0.1,0.3,89.58
0.1,0.4,84.91
0.1,0.5,80.3
0.1,0.6,77.15
0.1,0.7,75.61
0.1,0.9,74.25
0.3,0.1,78.19
0.3,0.3,72.41
0.3,0.4,68.33
0.3,0.5,67.73
0.3,0.6,66.31
0.3,0.7,65.54
0.3,0.9,64.63
0.4,0.1,73.25
0.4,0.3,69.42
0.4,0.4,66.96
0.4,0.5,65.04
0.4,0.6,64.02
0.4,0.7,63.4
0.4,0.9,62.76
0.5,0.1,71.5
0.5,0.3,68.77
0.5,0.4,65.7
0.5,0.5,64.01
0.5,0.6,63.26
0.5,0.7,62.68
0.6,0.1,71.28
0.6,0.3,68.33
0.6,0.4,65.33
0.6,0.5,63.65
0.6,0.6,62.89
0.6,0.7,62.3
0.7,0.1,71.08
0.7,0.3,68.09
0.7,0.4,65.04
0.7,0.5,63.37
0.7,0.6,62.6
0.9,0.1,70.86
0.9,0.3,67.87
0.9,0.4,64.84
