solar,wind,DK wind cap
0.1,0.1,14.1
0.1,0.3,15.9
0.1,0.4,17.4
0.1,0.5,20.1
0.1,0.6,25.9
0.1,0.7,30.3
0.1,0.9,37.6
0.3,0.1,13.5
0.3,0.3,15.0
0.3,0.4,16.2
0.3,0.5,19.1
0.3,0.6,22.9
0.3,0.7,27.3
0.3,0.9,38.6
0.4,0.1,13.4
0.4,0.3,14.8
0.4,0.4,15.9
0.4,0.5,19.2
0.4,0.6,22.2
0.4,0.7,26.7
0.4,0.9,41.2
0.5,0.1,13.4
0.5,0.3,14.8
0.5,0.4,15.8
0.5,0.5,19.1
0.5,0.6,22.0
0.5,0.7,26.9
0.6,0.1,13.2
0.6,0.3,14.7
0.6,0.4,15.6
0.6,0.5,19.0
0.6,0.6,21.9
0.6,0.7,27.8
0.7,0.1,13.0
0.7,0.3,14.7
0.7,0.4,15.5
0.7,0.5,18.8
0.7,0.6,21.9
0.9,0.1,12.8
0.9,0.3,14.6
0.9,0.4,15.7
