solar,wind,LDES absolute dispatch
0.1,0.1,37413782.1
0.1,0.3,67922525.4
0.1,0.4,87881794.0
0.1,0.5,109826573.5
0.1,0.6,127354479.6
0.1,0.7,142456322.5
0.1,0.9,169523303.8
0.3,0.1,175458107.2
0.3,0.3,205635761.4
0.3,0.4,221825457.3
0.3,0.5,251689179.1
0.3,0.6,270694036.5
0.3,0.7,289159271.7
0.3,0.9,285493004.9
0.4,0.1,259307276.4
0.4,0.3,287730010.4
0.4,0.4,308842160.8
0.4,0.5,334037402.3
0.4,0.6,354422884.6
0.4,0.7,373490379.5
0.4,0.9,365420711.1
0.5,0.1,342263594.7
0.5,0.3,378002801.0
0.5,0.4,399816083.0
0.5,0.5,425408044.1
0.5,0.6,444710280.3
0.5,0.7,449919513.4
0.6,0.1,418265587.2
0.6,0.3,453051583.6
0.6,0.4,478619294.4
0.6,0.5,496514568.7
0.6,0.6,517017492.2
0.6,0.7,497714714.9
0.7,0.1,467629336.3
0.7,0.3,514197121.2
0.7,0.4,539839470.2
0.7,0.5,555731734.2
0.7,0.6,568498120.6
0.9,0.1,568055714.2
0.9,0.3,623312681.9
0.9,0.4,639115440.9
