solar,wind,wind capacity factor
0.1,0.1,23.4
0.1,0.3,25.1
0.1,0.4,24.8
0.1,0.5,24.7
0.1,0.6,24.0
0.1,0.7,23.4
0.1,0.9,21.7
0.3,0.1,22.6
0.3,0.3,24.5
0.3,0.4,24.9
0.3,0.5,24.5
0.3,0.6,23.9
0.3,0.7,23.2
0.3,0.9,21.6
0.4,0.1,22.6
0.4,0.3,24.5
0.4,0.4,24.3
0.4,0.5,24.1
0.4,0.6,23.4
0.4,0.7,22.9
0.4,0.9,20.4
0.5,0.1,22.5
0.5,0.3,23.9
0.5,0.4,24.1
0.5,0.5,23.9
0.5,0.6,23.0
0.5,0.7,22.5
0.6,0.1,22.2
0.6,0.3,24.1
0.6,0.4,24.2
0.6,0.5,23.5
0.6,0.6,22.7
0.6,0.7,21.6
0.7,0.1,21.7
0.7,0.3,23.8
0.7,0.4,23.9
0.7,0.5,23.4
0.7,0.6,22.6
0.9,0.1,21.8
0.9,0.3,23.5
0.9,0.4,23.6
