solar,wind,system cost
0.1,0.1,318.1
0.1,0.3,297.5
0.1,0.4,291.0
0.1,0.5,287.0
0.1,0.6,285.5
0.1,0.7,286.1
0.1,0.9,292.3
0.3,0.1,319.1
0.3,0.3,296.2
0.3,0.4,288.5
0.3,0.5,283.1
0.3,0.6,280.4
0.3,0.7,280.4
0.3,0.9,287.4
0.4,0.1,322.6
0.4,0.3,299.2
0.4,0.4,291.1
0.4,0.5,285.5
0.4,0.6,282.7
0.4,0.7,282.7
0.4,0.9,290.5
0.5,0.1,327.3
0.5,0.3,303.4
0.5,0.4,295.2
0.5,0.5,289.4
0.5,0.6,286.7
0.5,0.7,286.7
0.6,0.1,332.8
0.6,0.3,308.6
0.6,0.4,300.2
0.6,0.5,294.4
0.6,0.6,291.8
0.6,0.7,292.4
0.7,0.1,338.9
0.7,0.3,314.6
0.7,0.4,306.2
0.7,0.5,300.6
0.7,0.6,298.3
0.9,0.1,353.2
0.9,0.3,328.7
0.9,0.4,320.5
