solar,wind,ES wind cap
0.1,0.1,18.4
0.1,0.3,30.1
0.1,0.4,29.7
0.1,0.5,28.9
0.1,0.6,36.3
0.1,0.7,44.6
0.1,0.9,62.1
0.3,0.1,19.1
0.3,0.3,34.8
0.3,0.4,42.2
0.3,0.5,53.2
0.3,0.6,54.8
0.3,0.7,54.4
0.3,0.9,60.4
0.4,0.1,12.3
0.4,0.3,29.9
0.4,0.4,34.8
0.4,0.5,42.3
0.4,0.6,51.3
0.4,0.7,52.5
0.4,0.9,54.9
0.5,0.1,5.9
0.5,0.3,26.4
0.5,0.4,29.9
0.5,0.5,35.6
0.5,0.6,45.5
0.5,0.7,50.9
0.6,0.1,2.9
0.6,0.3,20.2
0.6,0.4,28.1
0.6,0.5,30.5
0.6,0.6,36.8
0.6,0.7,42.1
0.7,0.1,0.8
0.7,0.3,13.1
0.7,0.4,20.5
0.7,0.5,25.0
0.7,0.6,28.4
0.9,0.1,0.8
0.9,0.3,0.9
0.9,0.4,3.4
