solar,wind,backup capacity factor low
0.1,0.1,3.36
0.1,0.3,3.21
0.1,0.4,3.08
0.1,0.5,2.95
0.1,0.6,2.84
0.1,0.7,2.64
0.1,0.9,2.5
0.3,0.1,3.17
0.3,0.3,3.16
0.3,0.4,3.03
0.3,0.5,2.87
0.3,0.6,2.93
0.3,0.7,2.88
0.3,0.9,2.73
0.4,0.1,3.02
0.4,0.3,3.06
0.4,0.4,2.91
0.4,0.5,2.87
0.4,0.6,2.99
0.4,0.7,3.01
0.4,0.9,3.01
0.5,0.1,2.89
0.5,0.3,3.0
0.5,0.4,2.96
0.5,0.5,3.03
0.5,0.6,3.07
0.5,0.7,3.05
0.6,0.1,2.82
0.6,0.3,2.94
0.6,0.4,3.04
0.6,0.5,3.18
0.6,0.6,3.24
0.6,0.7,3.24
0.7,0.1,2.8
0.7,0.3,2.98
0.7,0.4,3.14
0.7,0.5,3.27
0.7,0.6,3.35
0.9,0.1,2.82
0.9,0.3,2.94
0.9,0.4,3.19
