solar,wind,wind cap
0.1,0.1,98.0
0.1,0.3,294.3
0.1,0.4,395.2
0.1,0.5,496.9
0.1,0.6,611.1
0.1,0.7,719.5
0.1,0.9,910.2
0.3,0.1,98.1
0.3,0.3,299.6
0.3,0.4,407.2
0.3,0.5,509.2
0.3,0.6,606.2
0.3,0.7,707.3
0.3,0.9,916.6
0.4,0.1,97.7
0.4,0.3,299.5
0.4,0.4,408.3
0.4,0.5,509.2
0.4,0.6,605.8
0.4,0.7,709.4
0.4,0.9,916.9
0.5,0.1,97.5
0.5,0.3,299.5
0.5,0.4,405.6
0.5,0.5,508.5
0.5,0.6,605.4
0.5,0.7,711.2
0.6,0.1,97.5
0.6,0.3,299.6
0.6,0.4,404.3
0.6,0.5,508.0
0.6,0.6,605.7
0.6,0.7,711.9
0.7,0.1,97.4
0.7,0.3,299.6
0.7,0.4,403.3
0.7,0.5,507.8
0.7,0.6,605.5
0.9,0.1,97.4
0.9,0.3,301.1
0.9,0.4,401.3
