solar,wind,solar absolute curt
0.1,0.1,571451.5
0.1,0.3,1173530.9
0.1,0.4,1783396.9
0.1,0.5,2486758.6
0.1,0.6,2919257.0
0.1,0.7,4970733.3
0.1,0.9,5152168.3
0.3,0.1,102181428.1
0.3,0.3,144625779.3
0.3,0.4,166256810.8
0.3,0.5,203342041.4
0.3,0.6,237627477.8
0.3,0.7,263114767.9
0.3,0.9,293032013.6
0.4,0.1,310685258.1
0.4,0.3,376368098.7
0.4,0.4,414716267.8
0.4,0.5,464782786.8
0.4,0.6,505822498.0
0.4,0.7,537879796.0
0.4,0.9,583298461.3
0.5,0.1,578801914.1
0.5,0.3,660609720.7
0.5,0.4,707360810.5
0.5,0.5,755052785.1
0.5,0.6,798977089.3
0.5,0.7,835404539.2
0.6,0.1,869917669.4
0.6,0.3,960939023.3
0.6,0.4,1009044567.0
0.6,0.5,1064800121.5
0.6,0.6,1108329066.0
0.6,0.7,1150508189.4
0.7,0.1,1172564708.7
0.7,0.3,1267766076.4
0.7,0.4,1322890663.3
0.7,0.5,1376201924.7
0.7,0.6,1422619883.1
0.9,0.1,1788482386.3
0.9,0.3,1887282285.7
0.9,0.4,1939055088.0
