solar,wind,wind absolute curt
0.1,0.1,1545794.8
0.1,0.3,51659007.1
0.1,0.4,99207264.6
0.1,0.5,188937824.5
0.1,0.6,306897191.3
0.1,0.7,432337609.5
0.1,0.9,796765360.5
0.3,0.1,14926263.4
0.3,0.3,100313139.5
0.3,0.4,184618561.0
0.3,0.5,295030222.9
0.3,0.6,433943230.1
0.3,0.7,577058853.5
0.3,0.9,970343472.2
0.4,0.1,19839706.4
0.4,0.3,115943575.1
0.4,0.4,196426731.2
0.4,0.5,304912714.3
0.4,0.6,449019880.7
0.4,0.7,596716976.7
0.4,0.9,982065417.8
0.5,0.1,20921061.8
0.5,0.3,117510042.3
0.5,0.4,199638523.6
0.5,0.5,315142816.8
0.5,0.6,460630495.4
0.5,0.7,608480584.9
0.6,0.1,20484840.2
0.6,0.3,118205276.8
0.6,0.4,206460801.2
0.6,0.5,315994489.9
0.6,0.6,464959836.3
0.6,0.7,608651904.4
0.7,0.1,21141740.5
0.7,0.3,118507635.7
0.7,0.4,204934763.3
0.7,0.5,319467969.2
0.7,0.6,467224161.0
0.9,0.1,22474123.1
0.9,0.3,119082790.8
0.9,0.4,212155958.9
