solar,wind,wind curt
0.1,0.1,0.5
0.1,0.3,5.4
0.1,0.4,7.7
0.1,0.5,11.8
0.1,0.6,15.9
0.1,0.7,19.2
0.1,0.9,27.5
0.3,0.1,4.6
0.3,0.3,10.4
0.3,0.4,14.4
0.3,0.5,18.4
0.3,0.6,22.5
0.3,0.7,25.6
0.3,0.9,33.5
0.4,0.1,6.2
0.4,0.3,12.0
0.4,0.4,15.3
0.4,0.5,19.0
0.4,0.6,23.3
0.4,0.7,26.5
0.4,0.9,33.9
0.5,0.1,6.5
0.5,0.3,12.2
0.5,0.4,15.5
0.5,0.5,19.6
0.5,0.6,23.9
0.5,0.7,27.0
0.6,0.1,6.4
0.6,0.3,12.3
0.6,0.4,16.1
0.6,0.5,19.7
0.6,0.6,24.1
0.6,0.7,27.0
0.7,0.1,6.6
0.7,0.3,12.3
0.7,0.4,15.9
0.7,0.5,19.9
0.7,0.6,24.2
0.9,0.1,7.0
0.9,0.3,12.3
0.9,0.4,16.5
