solar,wind,backup capacity factor low
0.1,0.1,5.29
0.1,0.3,9.93
0.1,0.4,9.9
0.1,0.5,10.2
0.1,0.6,10.67
0.1,0.7,11.07
0.1,0.9,11.62
0.3,0.1,11.44
0.3,0.3,10.4
0.3,0.4,10.47
0.3,0.5,10.53
0.3,0.6,10.65
0.3,0.7,10.78
0.3,0.9,11.31
0.4,0.1,11.47
0.4,0.3,10.42
0.4,0.4,10.53
0.4,0.5,10.68
0.4,0.6,10.8
0.4,0.7,10.87
0.4,0.9,11.33
0.5,0.1,11.35
0.5,0.3,10.35
0.5,0.4,10.5
0.5,0.5,10.76
0.5,0.6,10.86
0.5,0.7,10.85
0.6,0.1,11.33
0.6,0.3,10.34
0.6,0.4,10.38
0.6,0.5,10.65
0.6,0.6,10.78
0.6,0.7,10.8
0.7,0.1,11.3
0.7,0.3,10.33
0.7,0.4,10.36
0.7,0.5,10.58
0.7,0.6,10.73
0.9,0.1,11.26
0.9,0.3,10.33
0.9,0.4,10.37
