solar,wind,ES solar cap
0.1,0.1,49.9
0.1,0.3,52.4
0.1,0.4,52.2
0.1,0.5,53.3
0.1,0.6,52.4
0.1,0.7,53.4
0.1,0.9,71.0
0.3,0.1,96.6
0.3,0.3,113.6
0.3,0.4,126.0
0.3,0.5,156.1
0.3,0.6,185.9
0.3,0.7,214.2
0.3,0.9,247.2
0.4,0.1,174.3
0.4,0.3,236.5
0.4,0.4,266.0
0.4,0.5,305.7
0.4,0.6,329.1
0.4,0.7,366.9
0.4,0.9,421.6
0.5,0.1,382.4
0.5,0.3,437.1
0.5,0.4,468.0
0.5,0.5,493.2
0.5,0.6,514.5
0.5,0.7,550.7
0.6,0.1,614.4
0.6,0.3,658.8
0.6,0.4,668.5
0.6,0.5,692.5
0.6,0.6,714.7
0.6,0.7,750.6
0.7,0.1,808.6
0.7,0.3,873.5
0.7,0.4,889.4
0.7,0.5,900.0
0.7,0.6,921.0
0.9,0.1,1123.2
0.9,0.3,1122.3
0.9,0.4,1121.6
