solar,wind,system cost
0.1,0.1,200.1
0.1,0.3,198.2
0.1,0.4,200.1
0.1,0.5,203.3
0.1,0.6,207.4
0.1,0.7,212.5
0.1,0.9,226.0
0.3,0.1,203.3
0.3,0.3,205.3
0.3,0.4,208.6
0.3,0.5,213.0
0.3,0.6,218.3
0.3,0.7,224.5
0.3,0.9,239.7
0.4,0.1,211.2
0.4,0.3,213.9
0.4,0.4,217.5
0.4,0.5,222.1
0.4,0.6,227.4
0.4,0.7,233.9
0.4,0.9,249.3
0.5,0.1,220.3
0.5,0.3,223.3
0.5,0.4,227.2
0.5,0.5,231.8
0.5,0.6,237.2
0.5,0.7,243.7
0.6,0.1,229.9
0.6,0.3,233.2
0.6,0.4,237.0
0.6,0.5,241.7
0.6,0.6,247.1
0.6,0.7,253.7
0.7,0.1,239.6
0.7,0.3,243.0
0.7,0.4,246.9
0.7,0.5,251.7
0.7,0.6,257.3
0.9,0.1,259.6
0.9,0.3,263.0
0.9,0.4,267.1
