solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,9.9
0.1,0.5,9.9
0.1,0.6,9.9
0.1,0.7,9.8
0.1,0.9,9.8
0.3,0.1,26.8
0.3,0.3,25.5
0.3,0.4,24.8
0.3,0.5,23.7
0.3,0.6,22.6
0.3,0.7,21.8
0.3,0.9,20.9
0.4,0.1,30.3
0.4,0.3,28.3
0.4,0.4,27.1
0.4,0.5,25.5
0.4,0.6,24.3
0.4,0.7,23.3
0.4,0.9,21.9
0.5,0.1,32.0
0.5,0.3,29.4
0.5,0.4,28.0
0.5,0.5,26.5
0.5,0.6,25.1
0.5,0.7,24.0
0.6,0.1,32.9
0.6,0.3,30.1
0.6,0.4,28.6
0.6,0.5,26.9
0.6,0.6,25.5
0.6,0.7,24.2
0.7,0.1,33.5
0.7,0.3,30.6
0.7,0.4,28.8
0.7,0.5,27.2
0.7,0.6,25.7
0.9,0.1,34.4
0.9,0.3,31.3
0.9,0.4,29.7
