solar,wind,system cost
0.1,0.1,444.9
0.1,0.3,421.7
0.1,0.4,413.1
0.1,0.5,406.7
0.1,0.6,403.2
0.1,0.7,403.3
0.1,0.9,412.7
0.3,0.1,443.1
0.3,0.3,416.8
0.3,0.4,407.5
0.3,0.5,402.0
0.3,0.6,400.3
0.3,0.7,403.3
0.3,0.9,418.4
0.4,0.1,450.1
0.4,0.3,424.3
0.4,0.4,415.3
0.4,0.5,409.9
0.4,0.6,409.3
0.4,0.7,413.1
0.4,0.9,429.0
0.5,0.1,459.6
0.5,0.3,433.9
0.5,0.4,425.3
0.5,0.5,420.4
0.5,0.6,420.4
0.5,0.7,424.4
0.6,0.1,470.2
0.6,0.3,444.7
0.6,0.4,436.4
0.6,0.5,431.9
0.6,0.6,432.1
0.6,0.7,436.0
0.7,0.1,481.2
0.7,0.3,455.9
0.7,0.4,447.8
0.7,0.5,443.6
0.7,0.6,443.9
0.9,0.1,503.7
0.9,0.3,479.0
0.9,0.4,471.1
