solar,wind,DK solar cap
0.1,0.1,0.5
0.1,0.3,1.4
0.1,0.4,1.4
0.1,0.5,1.1
0.1,0.6,0.3
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,4.0
0.3,0.3,4.0
0.3,0.4,5.3
0.3,0.5,7.3
0.3,0.6,4.9
0.3,0.7,4.0
0.3,0.9,3.8
0.4,0.1,4.9
0.4,0.3,5.3
0.4,0.4,6.7
0.4,0.5,9.5
0.4,0.6,6.6
0.4,0.7,4.9
0.4,0.9,4.0
0.5,0.1,5.4
0.5,0.3,6.4
0.5,0.4,11.8
0.5,0.5,11.0
0.5,0.6,7.0
0.5,0.7,5.3
0.6,0.1,5.7
0.6,0.3,7.4
0.6,0.4,12.2
0.6,0.5,11.3
0.6,0.6,7.1
0.6,0.7,5.4
0.7,0.1,5.9
0.7,0.3,7.5
0.7,0.4,12.6
0.7,0.5,11.5
0.7,0.6,7.0
0.9,0.1,5.8
0.9,0.3,7.5
0.9,0.4,11.9
