solar,wind,backup capacity factor low
0.1,0.1,5.56
0.1,0.3,6.23
0.1,0.4,6.24
0.1,0.5,6.15
0.1,0.6,5.83
0.1,0.7,5.85
0.1,0.9,5.14
0.3,0.1,4.81
0.3,0.3,5.31
0.3,0.4,5.37
0.3,0.5,5.22
0.3,0.6,4.24
0.3,0.7,4.15
0.3,0.9,4.96
0.4,0.1,4.41
0.4,0.3,4.99
0.4,0.4,5.26
0.4,0.5,4.86
0.4,0.6,3.81
0.4,0.7,4.47
0.4,0.9,4.92
0.5,0.1,3.0
0.5,0.3,4.85
0.5,0.4,4.63
0.5,0.5,3.84
0.5,0.6,4.16
0.5,0.7,4.49
0.6,0.1,3.09
0.6,0.3,3.54
0.6,0.4,4.12
0.6,0.5,4.11
0.6,0.6,4.56
0.6,0.7,4.44
0.7,0.1,3.22
0.7,0.3,3.59
0.7,0.4,4.31
0.7,0.5,4.57
0.7,0.6,4.62
0.9,0.1,4.22
0.9,0.3,4.06
0.9,0.4,4.95
