solar,wind,wind curt
0.1,0.1,0.0
0.1,0.3,0.6
0.1,0.4,1.0
0.1,0.5,2.0
0.1,0.6,3.5
0.1,0.7,7.7
0.1,0.9,21.5
0.3,0.1,0.1
0.3,0.3,0.9
0.3,0.4,1.8
0.3,0.5,7.0
0.3,0.6,12.8
0.3,0.7,19.1
0.3,0.9,33.5
0.4,0.1,1.8
0.4,0.3,5.1
0.4,0.4,8.0
0.4,0.5,11.5
0.4,0.6,17.1
0.4,0.7,23.4
0.4,0.9,35.9
0.5,0.1,2.6
0.5,0.3,7.1
0.5,0.4,10.5
0.5,0.5,14.0
0.5,0.6,19.3
0.5,0.7,25.2
0.6,0.1,3.2
0.6,0.3,7.8
0.6,0.4,11.5
0.6,0.5,15.0
0.6,0.6,20.0
0.6,0.7,25.9
0.7,0.1,3.3
0.7,0.3,8.1
0.7,0.4,11.9
0.7,0.5,15.5
0.7,0.6,20.6
0.9,0.1,3.2
0.9,0.3,8.4
0.9,0.4,12.2
