solar,wind,wind absolute curt
0.1,0.1,1680.3
0.1,0.3,6246062.7
0.1,0.4,14131488.5
0.1,0.5,37452720.3
0.1,0.6,78975797.3
0.1,0.7,207564844.9
0.1,0.9,725598356.0
0.3,0.1,233806.4
0.3,0.3,9964080.1
0.3,0.4,28657167.3
0.3,0.5,137883104.8
0.3,0.6,295022097.7
0.3,0.7,512025602.8
0.3,0.9,1112867593.0
0.4,0.1,6722887.9
0.4,0.3,58188146.2
0.4,0.4,122890740.7
0.4,0.5,221340399.5
0.4,0.6,396200548.3
0.4,0.7,624535483.8
0.4,0.9,1187673653.5
0.5,0.1,9815850.6
0.5,0.3,80970014.4
0.5,0.4,160620734.6
0.5,0.5,269680138.3
0.5,0.6,444293564.9
0.5,0.7,667783692.8
0.6,0.1,11864206.3
0.6,0.3,88104569.4
0.6,0.4,175384318.0
0.6,0.5,285861294.5
0.6,0.6,457645952.9
0.6,0.7,681076205.0
0.7,0.1,12188227.2
0.7,0.3,91371364.4
0.7,0.4,180027958.6
0.7,0.5,292314177.9
0.7,0.6,465722646.5
0.9,0.1,11662273.4
0.9,0.3,93331935.0
0.9,0.4,181445355.0
