solar,wind,backup capacity factor high
0.1,0.1,98.82
0.1,0.3,99.94
0.1,0.4,99.79
0.1,0.5,97.46
0.1,0.6,96.21
0.1,0.7,96.25
0.1,0.9,95.34
0.3,0.1,89.3
0.3,0.3,86.2
0.3,0.4,83.96
0.3,0.5,81.56
0.3,0.6,79.58
0.3,0.7,76.15
0.3,0.9,77.32
0.4,0.1,85.75
0.4,0.3,82.04
0.4,0.4,81.05
0.4,0.5,76.57
0.4,0.6,72.52
0.4,0.7,74.84
0.4,0.9,76.66
0.5,0.1,85.22
0.5,0.3,81.2
0.5,0.4,78.36
0.5,0.5,72.98
0.5,0.6,72.5
0.5,0.7,75.69
0.6,0.1,84.32
0.6,0.3,80.01
0.6,0.4,77.34
0.6,0.5,73.44
0.6,0.6,72.88
0.6,0.7,75.57
0.7,0.1,83.77
0.7,0.3,79.17
0.7,0.4,76.57
0.7,0.5,76.06
0.7,0.6,73.5
0.9,0.1,83.01
0.9,0.3,77.83
0.9,0.4,75.3
