solar,wind,solar curt
0.1,0.3,32.3
0.1,0.5,33.1
0.1,0.6,43.8
0.1,0.7,43.4
0.1,0.9,45.7
0.3,0.5,47.7
0.3,0.6,70.9
0.3,0.7,83.9
0.4,0.4,60.2
0.4,0.5,97.9
0.4,0.6,73.3
0.4,0.7,66.6
0.5,0.1,84.5
0.5,0.3,86.7
0.5,0.4,28.8
0.5,0.7,89.7
0.6,0.4,97.1
0.6,0.5,72.0
0.6,0.6,61.3
0.6,0.7,52.1
0.7,0.4,51.7
0.7,0.5,100.0
0.7,0.6,49.3
0.9,0.1,81.1
0.9,0.4,69.0
