solar,wind,wind theo share
0.1,0.3,27.0
0.1,0.5,63.8
0.1,0.6,54.4
0.1,0.7,68.5
0.1,0.9,112.7
0.3,0.5,55.9
0.3,0.6,226.3
0.3,0.7,225.5
0.4,0.4,45.7
0.4,0.5,145.0
0.4,0.6,122.0
0.4,0.7,93.8
0.5,0.1,113.5
0.5,0.3,97.6
0.5,0.4,38.2
0.5,0.7,174.7
0.6,0.4,351.6
0.6,0.5,120.4
0.6,0.6,63.9
0.6,0.7,70.6
0.7,0.4,39.2
0.7,0.5,43.5
0.7,0.6,37.7
0.9,0.1,67.6
0.9,0.4,239.6
