solar,wind,solar theo share
0.1,0.3,8.3
0.1,0.5,8.6
0.1,0.6,9.7
0.1,0.7,9.8
0.1,0.9,9.2
0.3,0.5,29.9
0.3,0.6,31.0
0.3,0.7,58.5
0.4,0.4,41.0
0.4,0.5,211.8
0.4,0.6,60.9
0.4,0.7,34.5
0.5,0.1,126.6
0.5,0.3,94.8
0.5,0.4,45.6
0.5,0.7,133.0
0.6,0.4,151.7
0.6,0.5,70.4
0.6,0.6,63.4
0.6,0.7,61.3
0.7,0.4,68.5
0.7,0.5,24.6
0.7,0.6,43.6
0.9,0.1,153.6
0.9,0.4,103.3
