solar,wind,backup capacity
0.1,0.3,4.288473890449945e+41
0.1,0.5,4.3093931770988595e+37
0.1,0.6,5.1080237462582537e+36
0.1,0.7,1613592.56
0.1,0.9,2.001816111730515e+36
0.3,0.5,2.5673538777696026e+37
0.3,0.6,7.071469075309962e+37
0.3,0.7,6.320369399811029e+36
0.4,0.4,7.6352525953207115e+37
0.4,0.5,9.972552598685454e+34
0.4,0.6,1.9328273771274836e+36
0.4,0.7,2.6858707281293443e+33
0.5,0.1,5.705297303821799e+37
0.5,0.3,3.020773762125651e+36
0.5,0.4,1.6757429261165497e+40
0.5,0.7,2.1476415050159764e+35
0.6,0.4,5.150316508841433e+34
0.6,0.5,3.884360550059415e+35
0.6,0.6,1.0628358462498551e+37
0.6,0.7,1.5760477423873068e+37
0.7,0.4,20445.0
0.7,0.5,2.4662914569232502e+20
0.7,0.6,2.397214710859606e+34
0.9,0.1,2.6920085359620833e+37
0.9,0.4,1.2817396527307535e+38
