solar,wind,SDES dispatch
0.1,0.3,5.111575283380141e+41
0.1,0.5,5.141715686275836e+37
0.1,0.6,6.608165328707343e+36
0.1,0.7,1943197.2
0.1,0.9,2.063563013783027e+36
0.3,0.5,2.185679082631351e+37
0.3,0.6,2.544511340169039e+37
0.3,0.7,6.121569395240287e+36
0.4,0.4,6.722809962338023e+37
0.4,0.5,5.648438108729e+34
0.4,0.6,1.4935676076748402e+36
0.4,0.7,2.084266165407118e+33
0.5,0.1,4.267222748687358e+37
0.5,0.3,3.6276543590387456e+36
0.5,0.4,5.432185542818323e+39
0.5,0.7,1.4375242176677191e+35
0.6,0.4,4.094065466349049e+34
0.6,0.5,2.4984544339930163e+35
0.6,0.6,1.0343603812738335e+37
0.6,0.7,9.689340229828235e+36
0.7,0.4,13061.0
0.7,0.5,1.4289175203512176e+20
0.7,0.6,1.6620255410732997e+34
0.9,0.1,2.9200809186079177e+37
0.9,0.4,1.0441015981724504e+38
