solar,wind,ES solar cap
0.1,0.3,27.6
0.1,0.5,25.0
0.1,0.6,27.6
0.1,0.7,27.0
0.1,0.9,25.2
0.3,0.5,77.2
0.3,0.6,59.0
0.3,0.7,147.6
0.4,0.4,71.5
0.4,0.5,1099.2
0.4,0.6,182.4
0.4,0.7,73.1
0.5,0.1,551.7
0.5,0.3,91.4
0.5,0.4,152.9
0.5,0.7,1009.5
0.6,0.4,439.2
0.6,0.5,335.6
0.6,0.6,253.8
0.6,0.7,130.9
0.7,0.4,277.1
0.7,0.5,51.9
0.7,0.6,207.4
0.9,0.1,915.9
0.9,0.4,301.9
