solar,wind,wind absolute curt
0.1,0.1,1440069.3
0.1,0.3,30433654.2
0.1,0.4,59204476.5
0.1,0.5,112243284.0
0.1,0.6,188988755.0
0.1,0.7,306630993.6
0.1,0.9,639768608.4
0.3,0.1,8107317.3
0.3,0.3,76895152.3
0.3,0.4,119830179.3
0.3,0.5,192620531.0
0.3,0.6,301741849.9
0.3,0.7,441723623.8
0.3,0.9,826763333.5
0.4,0.1,8115461.0
0.4,0.3,84927119.2
0.4,0.4,130017626.7
0.4,0.5,204292344.7
0.4,0.6,307296520.8
0.4,0.7,459135439.9
0.4,0.9,846981904.3
0.5,0.1,8113424.0
0.5,0.3,84453949.5
0.5,0.4,132308654.4
0.5,0.5,205931377.1
0.5,0.6,309659233.0
0.5,0.7,459543043.1
0.6,0.1,8585464.7
0.6,0.3,85020412.8
0.6,0.4,130302161.7
0.6,0.5,202822621.1
0.6,0.6,307844386.8
0.6,0.7,452203385.3
0.7,0.1,7145760.5
0.7,0.3,84295746.3
0.7,0.4,126980707.7
0.7,0.5,201474560.4
0.7,0.6,307327490.4
0.9,0.1,6931748.3
0.9,0.3,87694459.0
0.9,0.4,134910881.3
