solar,wind,wind cap
0.1,0.1,109.6
0.1,0.3,360.9
0.1,0.4,459.1
0.1,0.5,562.6
0.1,0.6,670.9
0.1,0.7,777.4
0.1,0.9,999.3
0.3,0.1,106.3
0.3,0.3,362.0
0.3,0.4,464.3
0.3,0.5,570.4
0.3,0.6,678.4
0.3,0.7,791.6
0.3,0.9,1017.4
0.4,0.1,105.2
0.4,0.3,360.4
0.4,0.4,463.7
0.4,0.5,567.0
0.4,0.6,673.8
0.4,0.7,790.4
0.4,0.9,1015.6
0.5,0.1,105.0
0.5,0.3,358.1
0.5,0.4,463.0
0.5,0.5,566.6
0.5,0.6,671.2
0.5,0.7,789.0
0.6,0.1,105.2
0.6,0.3,356.9
0.6,0.4,461.8
0.6,0.5,567.1
0.6,0.6,671.1
0.6,0.7,788.7
0.7,0.1,104.5
0.7,0.3,356.9
0.7,0.4,460.7
0.7,0.5,567.4
0.7,0.6,671.6
0.9,0.1,103.7
0.9,0.3,354.9
0.9,0.4,460.5
