solar,wind,backup capacity factor high
0.1,0.1,89.82
0.1,0.3,86.04
0.1,0.4,81.32
0.1,0.5,75.75
0.1,0.6,70.18
0.1,0.7,65.21
0.1,0.9,55.92
0.3,0.1,79.81
0.3,0.3,73.2
0.3,0.4,67.93
0.3,0.5,62.46
0.3,0.6,56.92
0.3,0.7,52.04
0.3,0.9,43.65
0.4,0.1,77.32
0.4,0.3,70.89
0.4,0.4,66.22
0.4,0.5,60.6
0.4,0.6,55.21
0.4,0.7,50.41
0.4,0.9,42.16
0.5,0.1,75.93
0.5,0.3,69.9
0.5,0.4,65.33
0.5,0.5,59.82
0.5,0.6,54.39
0.5,0.7,49.69
0.6,0.1,75.03
0.6,0.3,69.24
0.6,0.4,64.91
0.6,0.5,59.29
0.6,0.6,53.97
0.6,0.7,49.31
0.7,0.1,74.51
0.7,0.3,68.93
0.7,0.4,64.54
0.7,0.5,59.1
0.7,0.6,53.79
0.9,0.1,73.13
0.9,0.3,67.5
0.9,0.4,63.35
