solar,wind,solar absolute curt
0.1,0.1,1426900.5
0.1,0.3,88932.3
0.1,0.4,179588.3
0.1,0.5,465711.7
0.1,0.6,448600.0
0.1,0.7,399453.6
0.1,0.9,273593.6
0.3,0.1,246127197.5
0.3,0.3,210977036.4
0.3,0.4,213937854.3
0.3,0.5,231243696.3
0.3,0.6,237070287.2
0.3,0.7,248054676.5
0.3,0.9,254547213.4
0.4,0.1,485357285.4
0.4,0.3,463326298.3
0.4,0.4,477719517.5
0.4,0.5,496349985.3
0.4,0.6,518473320.6
0.4,0.7,523107912.0
0.4,0.9,536171858.9
0.5,0.1,759851999.9
0.5,0.3,756835556.1
0.5,0.4,771441350.7
0.5,0.5,793939626.7
0.5,0.6,819380868.5
0.5,0.7,827915785.8
0.6,0.1,1048761581.3
0.6,0.3,1058302143.2
0.6,0.4,1080557701.2
0.6,0.5,1103290120.3
0.6,0.6,1130557081.8
0.6,0.7,1146864445.2
0.7,0.1,1351728834.8
0.7,0.3,1368883735.2
0.7,0.4,1393022454.1
0.7,0.5,1418558362.1
0.7,0.6,1445619048.8
0.9,0.1,1949997042.3
0.9,0.3,1971485740.6
0.9,0.4,1998585788.2
