solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.1
0.1,0.4,38.2
0.1,0.5,46.5
0.1,0.6,54.1
0.1,0.7,60.5
0.1,0.9,70.1
0.3,0.1,9.7
0.3,0.3,27.6
0.3,0.4,36.3
0.3,0.5,44.0
0.3,0.6,50.6
0.3,0.7,56.3
0.3,0.9,64.3
0.4,0.1,9.7
0.4,0.3,27.4
0.4,0.4,36.0
0.4,0.5,43.6
0.4,0.6,50.4
0.4,0.7,55.7
0.4,0.9,63.7
0.5,0.1,9.7
0.5,0.3,27.4
0.5,0.4,35.9
0.5,0.5,43.6
0.5,0.6,50.4
0.5,0.7,55.7
0.6,0.1,9.7
0.6,0.3,27.4
0.6,0.4,35.9
0.6,0.5,43.7
0.6,0.6,50.4
0.6,0.7,55.9
0.7,0.1,9.8
0.7,0.3,27.4
0.7,0.4,36.0
0.7,0.5,43.7
0.7,0.6,50.4
0.9,0.1,9.8
0.9,0.3,27.3
0.9,0.4,35.8
