solar,wind,system cost
0.1,0.1,319.7
0.1,0.3,298.0
0.1,0.4,291.1
0.1,0.5,286.2
0.1,0.6,283.0
0.1,0.7,281.0
0.1,0.9,280.5
0.3,0.1,327.5
0.3,0.3,305.3
0.3,0.4,297.8
0.3,0.5,292.3
0.3,0.6,288.7
0.3,0.7,286.3
0.3,0.9,284.6
0.4,0.1,335.8
0.4,0.3,313.8
0.4,0.4,306.2
0.4,0.5,300.7
0.4,0.6,297.0
0.4,0.7,294.7
0.4,0.9,292.9
0.5,0.1,344.9
0.5,0.3,323.0
0.5,0.4,315.5
0.5,0.5,309.9
0.5,0.6,306.2
0.5,0.7,303.7
0.6,0.1,354.4
0.6,0.3,332.5
0.6,0.4,325.0
0.6,0.5,319.4
0.6,0.6,315.7
0.6,0.7,313.2
0.7,0.1,364.0
0.7,0.3,342.2
0.7,0.4,334.6
0.7,0.5,329.0
0.7,0.6,325.3
0.9,0.1,383.7
0.9,0.3,361.9
0.9,0.4,354.3
