solar,wind,solar cap
0.1,0.1,243.1
0.1,0.3,252.3
0.1,0.4,254.8
0.1,0.5,256.5
0.1,0.6,258.3
0.1,0.7,260.9
0.1,0.9,263.0
0.3,0.1,745.6
0.3,0.3,759.1
0.3,0.4,757.6
0.3,0.5,754.1
0.3,0.6,755.9
0.3,0.7,757.6
0.3,0.9,765.1
0.4,0.1,979.7
0.4,0.3,985.0
0.4,0.4,977.4
0.4,0.5,975.1
0.4,0.6,972.8
0.4,0.7,975.7
0.4,0.9,985.6
0.5,0.1,1201.0
0.5,0.3,1196.5
0.5,0.4,1187.5
0.5,0.5,1184.5
0.5,0.6,1183.3
0.5,0.7,1184.2
0.6,0.1,1415.7
0.6,0.3,1406.6
0.6,0.4,1396.2
0.6,0.5,1391.3
0.6,0.6,1388.1
0.6,0.7,1388.4
0.7,0.1,1625.2
0.7,0.3,1615.4
0.7,0.4,1605.2
0.7,0.5,1600.6
0.7,0.6,1595.7
0.9,0.1,2060.3
0.9,0.3,2047.6
0.9,0.4,2039.6
