solar,wind,DK wind cap
0.1,0.1,16.8
0.1,0.3,20.3
0.1,0.4,23.8
0.1,0.5,33.1
0.1,0.6,44.6
0.1,0.7,62.0
0.1,0.9,73.4
0.3,0.1,16.1
0.3,0.3,20.9
0.3,0.4,26.6
0.3,0.5,37.5
0.3,0.6,56.6
0.3,0.7,73.4
0.3,0.9,73.5
0.4,0.1,16.0
0.4,0.3,21.4
0.4,0.4,28.2
0.4,0.5,38.2
0.4,0.6,58.6
0.4,0.7,73.4
0.4,0.9,73.5
0.5,0.1,16.0
0.5,0.3,21.8
0.5,0.4,28.7
0.5,0.5,38.4
0.5,0.6,58.9
0.5,0.7,73.4
0.6,0.1,16.1
0.6,0.3,21.8
0.6,0.4,28.7
0.6,0.5,38.5
0.6,0.6,58.9
0.6,0.7,73.4
0.7,0.1,16.1
0.7,0.3,21.8
0.7,0.4,28.9
0.7,0.5,38.5
0.7,0.6,58.8
0.9,0.1,16.0
0.9,0.3,22.2
0.9,0.4,29.5
