solar,wind,backup capacity
0.1,0.1,736.33
0.1,0.3,688.64
0.1,0.4,654.26
0.1,0.5,638.58
0.1,0.6,622.97
0.1,0.7,612.53
0.1,0.9,593.3
0.3,0.1,736.51
0.3,0.3,695.63
0.3,0.4,659.39
0.3,0.5,640.65
0.3,0.6,625.84
0.3,0.7,616.21
0.3,0.9,593.73
0.4,0.1,736.5
0.4,0.3,696.12
0.4,0.4,665.72
0.4,0.5,642.21
0.4,0.6,628.8
0.4,0.7,619.59
0.4,0.9,595.43
0.5,0.1,736.49
0.5,0.3,696.11
0.5,0.4,666.24
0.5,0.5,642.36
0.5,0.6,628.91
0.5,0.7,619.99
0.6,0.1,736.83
0.6,0.3,696.15
0.6,0.4,666.15
0.6,0.5,642.44
0.6,0.6,629.07
0.6,0.7,620.04
0.7,0.1,736.9
0.7,0.3,696.65
0.7,0.4,666.3
0.7,0.5,642.48
0.7,0.6,629.12
0.9,0.1,736.75
0.9,0.3,695.36
0.9,0.4,667.28
