solar,wind,backup capacity factor high
0.1,0.1,85.36
0.1,0.3,79.87
0.1,0.4,76.35
0.1,0.5,73.93
0.1,0.6,71.63
0.1,0.7,69.85
0.1,0.9,67.04
0.3,0.1,76.14
0.3,0.3,70.11
0.3,0.4,72.78
0.3,0.5,64.7
0.3,0.6,70.74
0.3,0.7,62.12
0.3,0.9,71.1
0.4,0.1,72.41
0.4,0.3,67.06
0.4,0.4,64.51
0.4,0.5,73.67
0.4,0.6,71.21
0.4,0.7,60.31
0.4,0.9,62.58
0.5,0.1,70.34
0.5,0.3,65.76
0.5,0.4,71.12
0.5,0.5,68.22
0.5,0.6,64.59
0.5,0.7,71.6
0.6,0.1,69.57
0.6,0.3,66.25
0.6,0.4,62.94
0.6,0.5,68.03
0.6,0.6,67.17
0.6,0.7,66.23
0.7,0.1,69.23
0.7,0.3,64.93
0.7,0.4,62.75
0.7,0.5,67.69
0.7,0.6,64.21
0.9,0.1,68.53
0.9,0.3,64.15
0.9,0.4,71.31
