solar,wind,SDES absolute dispatch
0.1,0.1,2321.3
0.1,0.3,2102.8
0.1,0.4,2135.8
0.1,0.5,1958.1
0.1,0.6,3367.1
0.1,0.7,3860.3
0.1,0.9,4185.8
0.3,0.1,2035.1
0.3,0.3,2529.7
0.3,0.4,955273.3
0.3,0.5,14385.9
0.3,0.6,1031425.2
0.3,0.7,1819192.6
0.3,0.9,2728063.8
0.4,0.1,2386.3
0.4,0.3,672069.6
0.4,0.4,36683.9
0.4,0.5,3433698.5
0.4,0.6,1367560.9
0.4,0.7,1499429.8
0.4,0.9,3559054.3
0.5,0.1,1845270.6
0.5,0.3,82267.3
0.5,0.4,155026.4
0.5,0.5,4470055.8
0.5,0.6,3172347.7
0.5,0.7,2739561.1
0.6,0.1,89382.4
0.6,0.3,3427917.6
0.6,0.4,7250941.4
0.6,0.5,1381881.0
0.6,0.6,1363966.5
0.6,0.7,1188839.9
0.7,0.1,2624.8
0.7,0.3,8745143.3
0.7,0.4,6119708.1
0.7,0.5,954309.5
0.7,0.6,1285461.6
0.9,0.1,2717504.3
0.9,0.3,43287.4
0.9,0.4,1044889.7
