solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,38.0
0.1,0.4,46.5
0.1,0.5,52.4
0.1,0.6,57.2
0.1,0.7,60.6
0.1,0.9,65.7
0.3,0.1,36.9
0.3,0.3,53.1
0.3,0.4,59.7
0.3,0.5,64.2
0.3,0.6,67.0
0.3,0.7,68.8
0.3,0.9,73.7
0.4,0.1,41.1
0.4,0.3,55.8
0.4,0.4,61.6
0.4,0.5,65.8
0.4,0.6,68.3
0.4,0.7,69.7
0.4,0.9,74.3
0.5,0.1,43.3
0.5,0.3,57.1
0.5,0.4,62.4
0.5,0.5,66.5
0.5,0.6,68.9
0.5,0.7,70.2
0.6,0.1,44.2
0.6,0.3,57.6
0.6,0.4,62.9
0.6,0.5,66.8
0.6,0.6,69.1
0.6,0.7,70.4
0.7,0.1,44.6
0.7,0.3,57.8
0.7,0.4,63.1
0.7,0.5,66.9
0.7,0.6,69.3
0.9,0.1,45.2
0.9,0.3,58.6
0.9,0.4,63.9
