solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.2
0.1,0.4,0.1
0.1,0.5,0.1
0.1,0.6,0.2
0.1,0.7,0.2
0.1,0.9,0.3
0.3,0.1,9.0
0.3,0.3,12.7
0.3,0.4,15.0
0.3,0.5,15.2
0.3,0.6,18.3
0.3,0.7,20.6
0.3,0.9,23.4
0.4,0.1,20.4
0.4,0.3,26.2
0.4,0.4,28.2
0.4,0.5,32.5
0.4,0.6,33.1
0.4,0.7,34.2
0.4,0.9,39.8
0.5,0.1,32.2
0.5,0.3,37.3
0.5,0.4,40.1
0.5,0.5,43.9
0.5,0.6,45.8
0.5,0.7,46.0
0.6,0.1,41.5
0.6,0.3,48.2
0.6,0.4,51.5
0.6,0.5,51.9
0.6,0.6,53.3
0.6,0.7,54.6
0.7,0.1,49.3
0.7,0.3,55.4
0.7,0.4,57.9
0.7,0.5,58.3
0.7,0.6,59.6
0.9,0.1,60.2
0.9,0.3,62.9
0.9,0.4,65.0
