solar,wind,SDES discharge cap
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,0.0
0.3,0.3,0.0
0.3,0.4,0.9
0.3,0.5,0.0
0.3,0.6,0.8
0.3,0.7,1.3
0.3,0.9,2.4
0.4,0.1,0.0
0.4,0.3,0.6
0.4,0.4,0.0
0.4,0.5,3.0
0.4,0.6,1.2
0.4,0.7,1.2
0.4,0.9,3.2
0.5,0.1,2.1
0.5,0.3,0.1
0.5,0.4,0.1
0.5,0.5,3.6
0.5,0.6,2.9
0.5,0.7,2.4
0.6,0.1,0.1
0.6,0.3,3.3
0.6,0.4,6.4
0.6,0.5,1.2
0.6,0.6,1.4
0.6,0.7,1.2
0.7,0.1,0.0
0.7,0.3,7.3
0.7,0.4,5.1
0.7,0.5,0.9
0.7,0.6,1.2
0.9,0.1,3.0
0.9,0.3,0.0
0.9,0.4,1.0
