solar,wind,wind curt
0.1,0.1,0.0
0.1,0.3,6.5
0.1,0.4,8.7
0.1,0.5,15.2
0.1,0.6,21.3
0.1,0.7,27.7
0.1,0.9,38.1
0.3,0.1,4.4
0.3,0.3,10.5
0.3,0.4,14.4
0.3,0.5,22.4
0.3,0.6,29.2
0.3,0.7,35.6
0.3,0.9,43.6
0.4,0.1,7.1
0.4,0.3,12.2
0.4,0.4,17.8
0.4,0.5,22.4
0.4,0.6,30.8
0.4,0.7,38.0
0.4,0.9,44.2
0.5,0.1,6.1
0.5,0.3,14.3
0.5,0.4,18.7
0.5,0.5,23.2
0.5,0.6,30.3
0.5,0.7,38.3
0.6,0.1,8.9
0.6,0.3,11.7
0.6,0.4,15.6
0.6,0.5,24.2
0.6,0.6,31.5
0.6,0.7,38.3
0.7,0.1,9.4
0.7,0.3,11.3
0.7,0.4,16.1
0.7,0.5,24.6
0.7,0.6,31.6
0.9,0.1,5.9
0.9,0.3,16.1
0.9,0.4,19.1
