solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,27.3
0.3,0.3,26.2
0.3,0.4,25.5
0.3,0.5,25.4
0.3,0.6,24.5
0.3,0.7,23.8
0.3,0.9,23.0
0.4,0.1,31.8
0.4,0.3,29.5
0.4,0.4,28.7
0.4,0.5,27.0
0.4,0.6,26.8
0.4,0.7,26.3
0.4,0.9,24.1
0.5,0.1,33.9
0.5,0.3,31.4
0.5,0.4,29.9
0.5,0.5,28.1
0.5,0.6,27.1
0.5,0.7,27.0
0.6,0.1,35.1
0.6,0.3,31.1
0.6,0.4,29.1
0.6,0.5,28.9
0.6,0.6,28.0
0.6,0.7,27.2
0.7,0.1,35.5
0.7,0.3,31.2
0.7,0.4,29.5
0.7,0.5,29.2
0.7,0.6,28.3
0.9,0.1,35.8
0.9,0.3,33.4
0.9,0.4,31.5
