solar,wind,solar capacity factor
0.1,0.1,11.9
0.1,0.3,11.8
0.1,0.4,11.7
0.1,0.5,11.8
0.1,0.6,11.5
0.1,0.7,11.5
0.1,0.9,11.3
0.3,0.1,11.7
0.3,0.3,11.5
0.3,0.4,10.6
0.3,0.5,11.1
0.3,0.6,10.2
0.3,0.7,9.7
0.3,0.9,9.6
0.4,0.1,11.0
0.4,0.3,10.3
0.4,0.4,10.7
0.4,0.5,9.3
0.4,0.6,9.5
0.4,0.7,9.7
0.4,0.9,8.7
0.5,0.1,9.6
0.5,0.3,10.5
0.5,0.4,10.3
0.5,0.5,9.0
0.5,0.6,8.8
0.5,0.7,9.2
0.6,0.1,10.3
0.6,0.3,8.9
0.6,0.4,8.5
0.6,0.5,9.4
0.6,0.6,9.3
0.6,0.7,9.1
0.7,0.1,10.3
0.7,0.3,8.6
0.7,0.4,8.5
0.7,0.5,9.4
0.7,0.6,9.2
0.9,0.1,8.6
0.9,0.3,10.2
0.9,0.4,8.8
