solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,26.5
0.3,0.3,27.2
0.3,0.4,27.1
0.3,0.5,27.1
0.3,0.6,27.1
0.3,0.7,27.1
0.3,0.9,27.2
0.4,0.1,30.1
0.4,0.3,30.6
0.4,0.4,30.8
0.4,0.5,31.0
0.4,0.6,31.1
0.4,0.7,31.2
0.4,0.9,31.4
0.5,0.1,31.9
0.5,0.3,32.3
0.5,0.4,32.5
0.5,0.5,32.7
0.5,0.6,32.8
0.5,0.7,32.9
0.6,0.1,32.9
0.6,0.3,33.1
0.6,0.4,33.3
0.6,0.5,33.4
0.6,0.6,33.5
0.6,0.7,33.6
0.7,0.1,33.4
0.7,0.3,33.5
0.7,0.4,33.7
0.7,0.5,33.8
0.7,0.6,33.9
0.9,0.1,33.9
0.9,0.3,34.1
0.9,0.4,34.3
