solar,wind,system cost
0.1,0.1,423.2
0.1,0.3,395.5
0.1,0.4,393.9
0.1,0.5,395.8
0.1,0.6,398.9
0.1,0.7,402.2
0.1,0.9,413.9
0.3,0.1,433.2
0.3,0.3,406.7
0.3,0.4,399.6
0.3,0.5,396.4
0.3,0.6,396.7
0.3,0.7,399.4
0.3,0.9,411.1
0.4,0.1,442.8
0.4,0.3,416.6
0.4,0.4,409.6
0.4,0.5,406.6
0.4,0.6,406.8
0.4,0.7,409.6
0.4,0.9,421.4
0.5,0.1,454.4
0.5,0.3,428.5
0.5,0.4,421.6
0.5,0.5,418.6
0.5,0.6,418.9
0.5,0.7,421.7
0.6,0.1,466.9
0.6,0.3,441.2
0.6,0.4,434.3
0.6,0.5,431.4
0.6,0.6,431.7
0.6,0.7,434.5
0.7,0.1,479.9
0.7,0.3,454.2
0.7,0.4,447.4
0.7,0.5,444.5
0.7,0.6,444.8
0.9,0.1,506.3
0.9,0.3,480.8
0.9,0.4,474.0
