solar,wind,SDES absolute dispatch
0.1,0.1,2707.4
0.1,0.3,2471.4
0.1,0.4,1430.1
0.1,0.5,1484.6
0.1,0.6,2105.7
0.1,0.7,1569.5
0.1,0.9,3868.1
0.3,0.1,1123.6
0.3,0.3,1497.4
0.3,0.4,4112.3
0.3,0.5,1535.6
0.3,0.6,1955.0
0.3,0.7,3922.3
0.3,0.9,3642.4
0.4,0.1,3361.3
0.4,0.3,1918.6
0.4,0.4,2572.5
0.4,0.5,3438.5
0.4,0.6,1896.8
0.4,0.7,3332.6
0.4,0.9,2614.7
0.5,0.1,2389.3
0.5,0.3,3455.3
0.5,0.4,4267.0
0.5,0.5,3086.4
0.5,0.6,1734.8
0.5,0.7,2339.2
0.6,0.1,2298.3
0.6,0.3,1755.4
0.6,0.4,3700.7
0.6,0.5,2487.0
0.6,0.6,3530.0
0.6,0.7,4165.1
0.7,0.1,3080.1
0.7,0.3,4769.6
0.7,0.4,3378.6
0.7,0.5,3374.0
0.7,0.6,5443.3
0.9,0.1,4888.9
0.9,0.3,3177.5
0.9,0.4,5438.6
