solar,wind,total demand
0.1,0.1,7630.886
0.1,0.3,7362.034
0.1,0.4,6100.102
0.1,0.5,5354.14
0.1,0.6,4580.252
0.1,0.7,4237.726
0.1,0.9,4235.191
0.3,0.1,4235.101
0.3,0.3,4427.522
0.3,0.4,4237.188
0.3,0.5,4237.339
0.3,0.6,4235.634
0.3,0.7,4235.245
0.3,0.9,4235.214
0.4,0.1,4235.05
0.4,0.3,4235.633
0.4,0.4,4235.676
0.4,0.5,4235.444
0.4,0.6,4235.273
0.4,0.7,4235.263
0.4,0.9,4235.205
0.5,0.1,4235.027
0.5,0.3,4235.147
0.5,0.4,4235.291
0.5,0.5,4235.285
0.5,0.6,4235.262
0.5,0.7,4235.265
0.6,0.1,4235.026
0.6,0.3,4235.066
0.6,0.4,4235.207
0.6,0.5,4235.279
0.6,0.6,4235.265
0.6,0.7,4235.27
0.7,0.1,4235.026
0.7,0.3,4235.065
0.7,0.4,4235.203
0.7,0.5,4235.275
0.7,0.6,4235.267
0.9,0.1,4235.026
0.9,0.3,4235.065
0.9,0.4,4235.196
