solar,wind,backup capacity
0.1,0.1,698.28
0.1,0.3,628.12
0.1,0.4,622.38
0.1,0.5,616.23
0.1,0.6,614.49
0.1,0.7,608.24
0.1,0.9,584.97
0.3,0.1,729.6
0.3,0.3,659.87
0.3,0.4,641.75
0.3,0.5,627.72
0.3,0.6,614.77
0.3,0.7,602.5
0.3,0.9,578.64
0.4,0.1,730.79
0.4,0.3,663.34
0.4,0.4,641.39
0.4,0.5,627.89
0.4,0.6,614.87
0.4,0.7,602.62
0.4,0.9,578.82
0.5,0.1,730.31
0.5,0.3,663.56
0.5,0.4,641.46
0.5,0.5,627.92
0.5,0.6,614.97
0.5,0.7,602.72
0.6,0.1,730.92
0.6,0.3,663.5
0.6,0.4,641.34
0.6,0.5,627.92
0.6,0.6,615.04
0.6,0.7,602.79
0.7,0.1,731.16
0.7,0.3,663.55
0.7,0.4,641.44
0.7,0.5,627.91
0.7,0.6,615.09
0.9,0.1,730.69
0.9,0.3,663.64
0.9,0.4,641.48
