solar,wind,wind cap
0.1,0.1,280.1
0.1,0.3,776.3
0.1,0.4,872.0
0.1,0.5,966.9
0.1,0.6,992.2
0.1,0.7,1084.1
0.1,0.9,1448.3
0.3,0.1,143.5
0.3,0.3,469.4
0.3,0.4,599.4
0.3,0.5,745.7
0.3,0.6,927.9
0.3,0.7,1108.7
0.3,0.9,1480.8
0.4,0.1,142.8
0.4,0.3,445.4
0.4,0.4,600.9
0.4,0.5,746.5
0.4,0.6,931.2
0.4,0.7,1111.8
0.4,0.9,1485.3
0.5,0.1,143.3
0.5,0.3,444.5
0.5,0.4,600.9
0.5,0.5,746.5
0.5,0.6,932.2
0.5,0.7,1112.8
0.6,0.1,143.1
0.6,0.3,445.0
0.6,0.4,602.4
0.6,0.5,746.6
0.6,0.6,932.5
0.6,0.7,1113.0
0.7,0.1,143.1
0.7,0.3,444.4
0.7,0.4,602.2
0.7,0.5,746.7
0.7,0.6,932.3
0.9,0.1,143.4
0.9,0.3,443.8
0.9,0.4,600.9
