solar,wind,wind absolute curt
0.1,0.1,329084.7
0.1,0.3,109641553.2
0.1,0.4,161508693.6
0.1,0.5,336533072.5
0.1,0.6,516802170.1
0.1,0.7,703337759.3
0.1,0.9,1269565050.3
0.3,0.1,13633065.0
0.3,0.3,123006086.2
0.3,0.4,232094266.5
0.3,0.5,435015944.3
0.3,0.6,669406715.9
0.3,0.7,943956476.2
0.3,0.9,1560805335.7
0.4,0.1,19683101.8
0.4,0.3,145187175.4
0.4,0.4,291725449.2
0.4,0.5,507727202.9
0.4,0.6,755952797.1
0.4,0.7,1040324800.5
0.4,0.9,1675553099.0
0.5,0.1,23292196.0
0.5,0.3,164274061.8
0.5,0.4,320057146.0
0.5,0.5,540428877.1
0.5,0.6,793131884.2
0.5,0.7,1079904125.6
0.6,0.1,24888567.8
0.6,0.3,172518564.5
0.6,0.4,332878545.3
0.6,0.5,554194218.8
0.6,0.6,808419123.1
0.6,0.7,1097048264.7
0.7,0.1,25608331.5
0.7,0.3,176502868.1
0.7,0.4,338255791.0
0.7,0.5,560055821.5
0.7,0.6,816252745.7
0.9,0.1,26973721.7
0.9,0.3,184970372.9
0.9,0.4,349047708.0
